2023-09-01	07:30	10000
2023-09-01	07:45	1100
2023-09-01	08:00	1000
2023-09-01	08:15	900
2023-09-01	08:30	900
2023-09-01	08:45	800
2023-09-01	09:00	800
2023-09-01	09:15	800
2023-09-01	09:30	700
2023-09-01	09:45	700
2023-09-01	10:00	700
2023-09-01	10:15	600
2023-09-01	10:30	600
2023-09-01	10:45	500
2023-09-01	11:00	400
2023-09-01	11:15	400
2023-09-01	11:30	400
2023-09-01	11:45	300
2023-09-01	12:00	270
2023-09-01	12:15	250
2023-09-01	12:30	230
2023-09-01	12:45	220
2023-09-01	13:00	200
2023-09-01	13:15	200
2023-09-01	13:30	180
2023-09-01	13:45	150
2023-09-01	14:00	150
2023-09-01	14:15	150
2023-09-01	14:30	130
2023-09-01	14:45	120
2023-09-01	15:00	100
2023-09-01	15:15	100
2023-09-01	15:30	100
2023-09-01	15:45	100
2023-09-01	16:00	100
2023-09-01	16:15	100
2023-09-01	16:30	90
2023-09-01	16:45	90
2023-09-01	17:00	80
2023-09-01	17:15	70
2023-09-01	17:30	70
2023-09-01	17:45	60
2023-09-01	18:00	50
2023-09-01	18:15	50
2023-09-01	18:30	40
2023-09-01	18:45	40
2023-09-01	19:00	30
2023-09-01	19:15	30
2023-09-01	19:30	30
2023-09-01	19:45	30
2023-09-01	20:00	20
2023-09-01	20:15	20
2023-09-01	20:30	20
2023-09-01	20:45	20
2023-09-01	21:00	15
2023-09-01	21:15	15
2023-09-01	21:30	15
2023-09-01	21:45	15
2023-09-01	22:00	10
